,origR,origG,origB,alpha,label,MDD_insomnia
bankssts,25,100,40,0,2647065,1.119069097
caudalanteriorcingulate,125,100,160,0,10511485,-0.609377536
caudalmiddlefrontal,100,25,0,0,6500,-0.590392823
cuneus,220,20,100,0,6558940,-0.11701544
entorhinal,220,20,10,0,660700,-1.702225089
fusiform,180,220,140,0,9231540,-1.447207166
inferiorparietal,220,60,220,0,14433500,0.644301613
inferiortemporal,180,40,120,0,7874740,-1.714200227
isthmuscingulate,140,20,140,0,9180300,1.193926823
lateraloccipital,20,30,140,0,9182740,-1.047907567
lateralorbitofrontal,35,75,50,0,3296035,0.206770197
lingual,225,140,140,0,9211105,-0.807568592
medialorbitofrontal,200,35,75,0,4924360,-3.094843911
middletemporal,160,100,50,0,3302560,-1.482340621
parahippocampal,20,220,60,0,3988500,-2.21556932
paracentral,60,220,60,0,3988540,-2.047344369
parsopercularis,220,180,140,0,9221340,-1.844662231
parsorbitalis,20,100,50,0,3302420,-0.337652636
parstriangularis,220,60,20,0,1326300,-2.732785658
pericalcarine,120,100,60,0,3957880,0.279273623
postcentral,220,20,20,0,1316060,-1.947539897
posteriorcingulate,220,180,220,0,14464220,0.059015101
precentral,60,20,220,0,14423100,-1.888396925
precuneus,160,140,180,0,11832480,-1.285941455
rostralanteriorcingulate,80,20,140,0,9180240,-0.911508064
rostralmiddlefrontal,75,50,125,0,8204875,-1.110330174
superiorfrontal,20,220,160,0,10542100,-1.753912664
superiorparietal,20,180,140,0,9221140,-3.373536929
superiortemporal,140,220,220,0,14474380,-1.029066524
supramarginal,80,160,20,0,1351760,-3.02700963
frontalpole,100,0,100,0,6553700,-2.363211683
temporalpole,70,20,170,0,11146310,-1.145015318
transversetemporal,150,150,200,0,13145750,-1.526832932
insula,255,192,32,0,2146559,-3.003634594
unknown,25,5,25,0,0,0
corpuscallosum,25,5,25,0,1639705,0
